clave_distrito,distrito,estado,clave_municipio,clave_municipio_2,clave_municipio_3
1,centro historico,CDMX,9015,,
2,buenavista-reforma,CDMX,9015,,
3,tlatelolco,CDMX,9015,,
4,morelos,CDMX,9017,,
5,moctezuma,CDMX,9017,,
6,balbuena,CDMX,9017,,
7,obrera,CDMX,9015,,
8,condesa,CDMX,9015,,
9,napoles,CDMX,9014,,
10,vertiz narvarte,CDMX,9014,,
11,reforma iztaccihuatl,CDMX,9006,,
12,palacio de los deportes,CDMX,9006,,
13,san andres tetepilco,CDMX,9007,,
14,portales,CDMX,9014,,
15,del valle,CDMX,9014,,
16,chapultepec-polanco,CDMX,9016,,
17,panteones,CDMX,9016,,
18,tezozomoc,CDMX,9002,,
19,el rosario,CDMX,9002,,
20,industrial vallejo,CDMX,9002,,
21,la raza,CDMX,9002,,
22,cuautepec,CDMX,9005,,
23,reclusorio norte,CDMX,9005,,
24,ticoman,CDMX,9005,,
25,nueva industrial vallejo,CDMX,9005,,
26,instituto politecnico,CDMX,9005,,
27,tepeyac,CDMX,9005,,
28,la villa,CDMX,9005,,
29,nueva atzacoalco,CDMX,9005,,
30,san felipe de jesus,CDMX,9005,,
31,deportivo los galeana,CDMX,9005,,
32,bondojito,CDMX,9005,,
33,san juan de aragon,CDMX,9005,,
34,aeropuerto,CDMX,9017,,
35,pantitlan,CDMX,9006,,
36,zaragoza,CDMX,9017,,
37,upiicsa,CDMX,9006,,
38,central de abastos,CDMX,9007,,
39,uam iztapalapa,CDMX,9007,,
40,escuadron 201,CDMX,9007,,
41,parque cerro de la estrella,CDMX,9007,,
42,lomas estrella,CDMX,9007,,
43,canal nacional,CDMX,9003,,
44,coapa,CDMX,9012,,
45,culhuacan ctm,CDMX,9003,,
46,campestre churubusco,CDMX,9003,,
47,viveros,CDMX,9003,,
48,pedregal de santo domingo,CDMX,9003,,
49,xotepingo,CDMX,9003,,
50,estadio azteca,CDMX,9003,,
51,ciudad universitaria,CDMX,9010,,
52,olivar de los padres-san jeronimo,CDMX,9008,,
53,las aguilas,CDMX,9010,,
54,santa lucia,CDMX,9010,,
55,molinos,CDMX,9010,,
56,santa fe,CDMX,9010,,
57,observatorio,CDMX,9010,,
58,las lomas,CDMX,9016,,
59,cuajimalpa,CDMX,9004,,
60,san lorenzo acopilco,CDMX,9004,,
61,san bartolo-san mateo,CDMX,9010,,
62,cerro del judio,CDMX,9008,,
63,la magdalena contreras,CDMX,9012,,
64,villa olimpica,CDMX,9012,,
65,padierna,CDMX,9012,,
66,san pedro martir,CDMX,9012,,
67,pueblo del ajusco,CDMX,9012,,
68,tepepan,CDMX,9012,,
69,noria,CDMX,9013,,
70,nativitas,CDMX,9013,,
71,milpa alta,CDMX,9009,,
72,tulyehualco,CDMX,9013,,
73,el molino tezonco,CDMX,9013,,
74,tlahuac,CDMX,9011,,
75,mixquic,CDMX,9011,,
76,santa catarina,CDMX,9011,,
77,reclusorio oriente,CDMX,9007,,
78,desarrollo urbano quetzalcoatl,CDMX,9007,,
79,buenavista iztapalapa,CDMX,9007,,
80,santa maria xalpa,CDMX,9007,,
81,san miguel teotongo,CDMX,9011,,
82,santa martha acatitla,CDMX,9007,,
83,juan escutia,CDMX,9007,,
84,santa cruz meyehualco,CDMX,9007,,
85,ejercito constitucionalista,CDMX,9007,,
100,localidades pte. chamapa-lecheria,MEX,15046,,
101,cc interlomas-lomas de tecamachalco,MEX,15037,,
102,club de golf lomas-campo militar naucalpan,MEX,15037,,
103,san jose de los leones,MEX,15057,,
104,san rafael chamapa,MEX,15057,,
105,fracc. industrial naucalpan poniente,MEX,15057,,
106,naucalpan de juarez -centro y lomas,MEX,15057,,
107,las huertas,MEX,15057,,
108,cc lomas verdes-cerro de moctezuma,MEX,15057,,
109,cd. satelite poniente,MEX,15057,,
110,cc cd. satelite-industrial alce blanco,MEX,15057,,
111,condados de atizapan-mexico nuevo,MEX,15013,,
112,periferico barrientos-mundo e,MEX,15104,,
113,zonas industriales tlalnepantla,MEX,15104,,
114,zona industrial tabla honda y san pablo xalpa,MEX,15104,,
115,fracc. industrial barrientos,MEX,15104,,
116,club de golf hacienda,MEX,15013,,
117,u.h. adolfo lopez mateos-central de abastos atizapan,MEX,15013,,
118,emiliano zapata-lomas de san miguel,MEX,15013,,
119,vista hermosa,MEX,15060,,
120,villa nicolas romero,MEX,15060,,
121,cahuacan-himno nacional,MEX,15060,,
122,tepotzotlan-villa del carbon,MEX,15095,,
123,lago de guadalupe,MEX,15121,,
124,industrial cuamatla-san francisco tepojaco,MEX,15121,,
125,industrial tres rios-infonavit norte,MEX,15121,,
126,centro urbano-cc cuautitlan izcalli,MEX,15121,,
127,san martin obispo,MEX,15121,,
128,la quebrada-parques industriales,MEX,15121,,
129,industrial sin nombre-buenavista 2a secc.,MEX,15109,,
130,tultitlan-centro,MEX,15109,,
131,melchor ocampo-joyas de cuautitlan,MEX,15053,,
132,coyotepec-teoloyucan,MEX,15023,,
133,huehuetoca,MEX,15035,,
134,tequixquiac-apaxco,MEX,15096,,
135,zumpango,MEX,15120,,
136,tultepec - cabecera,MEX,15108,,
137,central de abastos tultitlan-santiago teyahualco,MEX,15109,,
138,chilpan-buenavista tultitlan,MEX,15109,,
139,tad san juan ixhuatepec,MEX,15104,,
140,lazaro cardenas-lomas de tepeolulco,MEX,15104,,
141,coacalco -cabecera,MEX,15020,,
142,villa de las flores-heroes coacalco,MEX,15020,,
143,potrero-la laguna,MEX,15020,,
144,pueblo san pablo de las salinas,MEX,15109,,
145,u.h. de san pablo de las salinas,MEX,15109,,
146,guadalupe victoria-recursos hidraulicos,MEX,15033,,
147,san cristobal ecatepec,MEX,15033,,
148,la presa-tulpetlac,MEX,15033,,
149,teleferico ecatepec,MEX,15033,,
150,parques industriales ecatepec,MEX,15033,,
151,villa de guadalupe xalostoc,MEX,15033,,
152,valle de aragon,MEX,15058,,
153,bosques de aragon,MEX,15058,,
154,granjas independencia,MEX,15033,,
155,valle de aragon 3ra secc.,MEX,15033,,
156,cc center plazas-nueva aragon,MEX,15033,,
157,heroes de la independencia-san agustin,MEX,15033,,
158,la costena-olimpica jajalpa,MEX,15033,,
159,jardines de sta. clara-super plaza ecatepec,MEX,15033,,
160,multiplaza aragon-cd. azteca,MEX,15033,,
161,jardines de morelos,MEX,15033,,
162,central de abastos ecatepec,MEX,15033,,
163,heroes tecamac y ecatepec,MEX,15081,,
164,los heroes tecamac -bosques y jardines,MEX,15081,,
165,ojo de agua,MEX,15081,,
166,base aerea sta lucia-cuautlalpan,MEX,15081,,
167,tecamac -cabecera,MEX,15081,,
168,ciudad cuauhtemoc,MEX,15033,,
169,termoelectrica del valle de mexico,MEX,15002,,
170,san salvador atenco-peaje piramides,MEX,15011,,
171,carr piramides-tulancingo,MEX,15016,,
172,texcoco norte-tepexpan,MEX,15093,,
173,nuevo aicm,MEX,15099,,
174,texcoco centro-chapingo,MEX,15099,,
175,san miguel tlaixpan,MEX,15099,,
176,el sol,MEX,15058,,
177,juarez pantitlan-mercado de carne,MEX,15058,,
178,mercado pirules,MEX,15058,,
179,ayuntamiento de nezahualcoyotl,MEX,15058,,
180,benito juarez,MEX,15058,,
181,metropolitana,MEX,15058,,
182,la perla,MEX,15058,,
183,cc plaza neza,MEX,15058,,
184,parque industrial izcalli,MEX,15058,,
185,san lorenzo-xochitenco,MEX,15031,,
186,cc patio chimalhuacan-barrio la rosita,MEX,15031,,
187,barrio labradores-jardines acuitlapilco,MEX,15031,,
188,talladores-central de abastos chicoloapan,MEX,15031,,
189,chicoloapan de juarez,MEX,15099,,
190,sta. ma. nativitas,MEX,15031,,
191,lomas de buena vista-sta. rosa,MEX,15029,,
192,valle de los reyes,MEX,15070,,
193,metro la paz-los reyes,MEX,15070,,
194,cedis san gregorio-cerro el elefante,MEX,15039,,
195,geovillas de ayotla-union antorchista,MEX,15039,,
196,ixtapaluca centro-acozac,MEX,15039,,
197,pueblos de ixtapaluca,MEX,15039,,
198,cc sendero y galerias ixtapaluca,MEX,15039,,
199,cc sendero valle de chalco-santiago,MEX,15122,,
200,alfredo baranda,MEX,15122,,
201,xico,MEX,15122,,
202,san miguel jacalones,MEX,15025,,
203,chalco de diaz covarrubias,MEX,15025,,
204,san martin cuautlalpan,MEX,15025,,
205,san gregorio-tlalmanalco,MEX,15103,,
206,industrial chalco-tenango del aire,MEX,15089,,
207,tramo amecameca-cuautla,MEX,15015,,
300,tizayuca,HGO,13069,,
