distrito,area,residencia,trabajo
100,79181577.59,77464964.48,1716613.11
101,18070184.15,16949907.31,1120276.84
102,19865976.07,13997897.94,5868078.13
103,5015846.96,4896995.47,118851.49
104,1959052.58,1959052.58,0
105,5760340.81,3289156.4,2471184.41
106,6019229.49,5676870.49,342359
107,11880134.52,10487008.1,1393126.42
108,19249338.18,17064953.44,2184384.74
109,8553507.28,6915920.41,1637586.87
110,15051744.77,9822295.28,5229449.49
111,49232573.37,44333469.9,4899103.47
112,11022150.56,8259600.93,2762549.63
113,18784552.13,8240542.58,10544009.55
114,10919128.96,8639585.08,2279543.88
115,16503257.07,4808303.64,11694953.43
116,11863707.52,11327652.58,536054.94
117,9462395.2,8949935.55,512459.65
118,8531269.43,8531269.43,0
119,7999166.26,7812311.08,186855.18
120,14862985.01,14862985.01,0
121,36928136.07,34494345.01,2433791.06
122,110561400.8,107780495.7,2780905.16
123,19163199.14,18003380.26,1159818.88
124,11621153.09,9759646.38,1861506.71
125,7885944.94,7471777.86,414167.08
126,12963974.85,11239872.06,1724102.79
127,12170285.45,7154212.71,5016072.74
128,30413756.52,8774460.39,21639296.13
129,8001283.51,7418880.77,582402.74
130,15722521.39,10472300.35,5250221.04
131,20929755.65,20274413.68,655341.97
132,42340451.38,35818002.85,6522448.53
133,49549796.45,45694761.76,3855034.69
134,70311943.47,58382244.6,11929698.87
135,50329685.84,49144411.68,1185274.16
136,19535427.43,19470648.09,64779.34
137,11251100.83,8070842.73,3180258.1
138,10543018.44,10543018.44,0
139,10361668.39,5861626.08,4500042.31
140,11045003.88,5684096.04,5360907.84
141,8356274.4,5931437.22,2424837.18
142,8319762.24,7785583.04,534179.2
143,5623792.61,4825724.69,798067.92
144,2926214.74,2781405.9,144808.84
145,7874212.31,7874212.31,0
146,14043774.58,13711018.89,332755.69
147,8648261.07,8324988.43,323272.64
148,6116019.27,6116019.27,0
149,7113706.17,7113706.17,0
150,7303874.8,6344268.31,959606.49
151,10732631.59,10732631.59,0
152,5307594.33,5178824.92,128769.41
153,5978682.04,5353138.02,625544.02
154,7294983.73,7294983.73,0
155,2434779.8,1852950.3,581829.5
156,1693615.11,1637627.62,55987.49
157,4868367.65,4736677.68,131689.97
158,12490756.1,3508917.52,8981838.58
159,6848776.86,6692843.41,155933.45
160,8488315.56,8087466.11,400849.45
161,10807380.73,10480263.2,327117.53
162,6472796.35,5632231.11,840565.24
163,7480324.35,7141376.66,338947.69
164,21003856.35,20369536.69,634319.66
165,16787308.75,10031285.2,6756023.55
166,50718763.7,24470350.73,26248412.97
167,20135906.34,19141838.46,994067.88
168,9593130.18,9548488.68,44641.5
169,8253198.26,7542687.93,710510.33
170,23760274.87,21250663.42,2509611.45
171,125748292.8,108801219,16947073.85
172,71616938.86,67774232.31,3842706.55
173,57872215.76,37508937.51,20363278.25
174,37822382.57,29696862.21,8125520.36
175,32313505.37,32313505.37,0
176,5053875.86,5053875.86,0
177,986167.13,986167.13,0
178,6882474.72,6882474.72,0
179,8084124.8,1995618.29,6088506.51
180,4273965.92,4273965.92,0
181,2499174.08,2499174.08,0
182,3373185.16,3373185.16,0
183,8371481.91,7820495.9,550986.01
184,5151821.13,4423409.02,728412.11
185,7139177.24,7139177.24,0
186,6091246.99,5970653.87,120593.12
187,7661161.07,7245612.07,415549
188,7239977.17,6793144.01,446833.16
189,14465292,12578436.82,1886855.18
190,11957981.81,11957981.81,0
191,18034470.75,18034470.75,0
192,14436455.08,8821994.63,5614460.45
193,14133016.91,13494790.11,638226.8
194,10050050.89,7617439.19,2432611.7
195,20355144.66,20080551.13,274593.53
196,14382086.95,11281338.63,3100748.32
197,16871638.09,16058593.7,813044.39
198,5536739.68,3502151.51,2034588.17
199,11605326.57,10425997.46,1179329.11
200,3277374.03,3068973.59,208400.44
201,10402962.26,10265212.24,137750.02
202,6614966.58,6543441.11,71525.47
203,12568874.26,11690505.4,878368.86
204,9804711.81,9630176.95,174534.86
205,23081419.08,21232730.59,1848688.49
206,60245133.4,45564455.19,14680678.21
207,56288907.52,54964268.28,1324639.24
