CVEGEO,vecino_1,vecino_2,vecino_3,vecino_4,vecino_5,vecino_6
9002,9005,9015,9016,,,
9003,9007,9010,9012,9013,9014,
9004,9010,9016,,,,
9005,9002,9015,9017,,,
9006,9007,9014,9015,9017,,
9007,9003,9006,9011,9013,9014,
9008,9010,9012,,,,
9009,9011,9012,9013,,,
9010,9003,9004,9008,9012,9014,9016
9011,9007,9009,9013,,,
9012,9003,9008,9009,9010,9013,
9013,9003,9007,9009,9011,9012,
9014,9003,9006,9007,9010,9015,9016
9015,9002,9005,9006,9014,9016,9017
9016,9002,9004,9010,9014,9015,
9017,9005,9006,9014,9015,,
